House,Precinct,,,,,Senate,,,,,County
47,3,Kahuku High/Inter Sch,56-490 Kamehameha Hwy,Caf,II,23,II,DOE,21.662219,-157.932587,City and County of Honolulu
47,2,Sunset Beach Elem Sch,59-360 Kamehameha Hwy,Caf,II,23,II,DOE,21.551087,-157.848042,City and County of Honolulu
47,1,Haleiwa Elem Sch,66-505 Haleiwa Rd,Caf,II,23,II,DOE,21.584259,-158.113627,City and County of Honolulu
45,4,Waialua Elem Sch,67-020 Waialua Beach Rd ,Caf,II,23,II,DOE,21.576235,-158.121485,City and County of Honolulu
45,5,,,,II,23,IX,,,,City and County of Honolulu
49,5,Maunawili Elem Sch,1465 Ulupii St,Caf,II,24,III,DOE,21.376924,-157.75245,City and County of Honolulu
48,6,Puohala Elem Sch,45-233 Kulauli St,Caf,II,24,III,DOE,21.40928,-157.789997,City and County of Honolulu
48,5,Benjamin Parker Elem Sch,45-259 Waikalua Rd,Caf,II,24,III,DOE,21.413783,-157.79709,City and County of Honolulu
49,4,Castle High Sch,45-386 Kaneohe Bay Dr,Caf,II,24,III,DOE,21.403535,-157.794019,City and County of Honolulu
49,3,Kaneohe Elem Sch,45-495 Kamehameha Hwy,Caf,II,24,III,DOE,21.396383,-157.796003,City and County of Honolulu
49,2,Kapunahala Elem Sch,45-828 Anoi Rd,Caf,II,24,III,DOE,21.408302,-157.80365,City and County of Honolulu
49,1,Heeia Elem Sch,46-202 Haiku Rd,Caf,II,24,III,DOE,21.418164,-157.808503,City and County of Honolulu
48,3,Ahuimanu Elem Sch,47-470 Hui Aeko Pl,Caf,II,24,III,DOE,21.435734,-157.830298,City and County of Honolulu
51,1,Kaelepulu Elem Sch,530 Keolu Dr,Caf,II,24,III,DOE,21.381706,-157.743071,City and County of Honolulu
50,4,Kaelepulu Elem Sch,530 Keolu Dr,Caf,II,24,III,DOE,21.381706,-157.742071,City and County of Honolulu
50,1,Kalaheo High Sch,730 Iliaina St,Caf,II,24,III,DOE,21.409101,-157.756969,City and County of Honolulu
51,3,Lanikai Elem Sch,140 Alala Rd,Caf,II,25,III,DOE,21.393802,-157.725869,City and County of Honolulu
51,4,Keolu Elem Sch,1416 Keolu Dr,Caf,II,25,III,DOE,21.371741,-157.736049,City and County of Honolulu
49,6,Maunawili Elem Sch,1465 Ulupii St,Caf,II,25,III,DOE,21.376924,-157.75345,City and County of Honolulu
50,2,Kainalu Elem Sch,165 Kaiholu St,Caf,II,25,III,DOE,21.412926,-157.74915,City and County of Honolulu
17,2,Koko Head Elem Sch,189 Lunalilo Home Rd,Caf,I,25,IV,DOE,21.274051,-157.704899,City and County of Honolulu
50,3,Kailua Elem Sch,315 Kuulei Rd,Caf,II,25,III,DOE,21.395567,-157.741537,City and County of Honolulu
51,6,Pope Elem Sch,41-133 Huli St,Caf,II,25,III,DOE,21.328188,-157.694989,City and County of Honolulu
51,5,Waimanalo Elem/Inter Sch,41-1330 Kalanianaole Hwy,Caf,II,25,III,DOE,21.315769,-157.664638,City and County of Honolulu
17,1,Kaiser High Sch,511 Lunalilo Home Rd,Caf,I,25,IV,DOE,21.285568,-157.695299,City and County of Honolulu
51,2,Enchanted Lake Elem Sch,770 Keolu Dr,Caf,II,25,III,DOE,21.38295,-157.732339,City and County of Honolulu
