House,Precinct,,,,,Senate,,,,,County
11,1,Trinity Episcopal Church by the Sea,100 Kulanihakoi St,Hall,II,6,A/L,P,20.76162,-156.455038,Maui County
10,1,Kenolio Recreational Complex,131 S Kihei Rd,Caf,II,6,A/L,C,20.779763,-156.460846,Maui County
11,2,Kamalii Elem Sch,180 Alanui Ke Alii St,Caf,II,6,A/L,DOE,20.722118,-156.440159,Maui County
10,5,Lahaina Civic Ctr,1840 Honoapiilani Hwy,Mtg Rm,II,6,A/L,C,20.905006,-156.683836,Maui County
11,4,Kihei Elem Sch,250 E Lipoa St,Caf,II,6,A/L,DOE,20.748261,-156.448965,Maui County
11,3,Kihei Comm Ctr,303 E Lipoa St,Comm Ctr,II,6,A/L,C,20.749011,-156.447517,Maui County
10,2,King Kamehameha III Elem Sch,611 Front St,Caf,II,6,A/L,DOE,20.871053,-156.676843,Maui County
10,4,Princess Nahienaena Elem Sch,816 Niheu St,Caf,II,6,A/L,DOE,20.886162,-156.663931,Maui County
10,3,Lahaina Inter Sch,871 Lahainaluna Rd,Caf,II,6,A/L,DOE,20.885569,-156.661699,Maui County
12,1,Kalama Inter Sch,120 Makani Rd,Caf,II,7,A/L,DOE,20.85051,-156.320976,Maui County
13,7,Maunaloa Comm Ctr,250 Maunaloa Rd ,Comm Ctr ,II ,7,A/L ,C,21.128862,-157.210085,Maui County
13,1,Paia Comm Ctr,252 Hana Hwy ,Comm Ctr ,II ,7,A/L ,C,20.888463,-156.457632,Maui County
13,2,Haiku Comm Ctr,2830 Hana Hwy ,Comm Ctr ,II ,7,A/L ,C,20.928978,-156.320436,Maui County
12,3,Pukalani Elem Sch,2945 Iolani St,Caf,II,7,A/L,DOE,20.840487,-156.345291,Maui County
13,6,Kaunakakai Sch,30 Ailoa St ,Caf ,II ,7,A/L ,DOE,21.08957,-157.017458,Maui County
12,6,Kaunoa Senior Citizen Ctr,401 Alakapa Pl,Mtg Rm,II,7,A/L,C,20.905834,-156.411907,Maui County
13,3,Hana High/Elem Sch,4111 Hana Hwy ,Caf ,II ,7,A/L ,DOE,20.777431,-155.998076,Maui County
12,5,Kula Comm Ctr,4355 Lower Kula Rd,Comm Ctr,II,7,A/L,C,20.762997,-156.326114,Maui County
13,4,Lanai High/Elem Sch,555 Fraser Ave ,Caf ,II ,7,A/L ,DOE,20.826288,-156.921988,Maui County
12,4,Mayor Hannibal Tavares Comm Ctr,91 Pukalani St,Hall,II,7,A/L,C,20.839832,-156.342638,Maui County
12,2,Eddie Tam Memorial Ctr,931 Makawao Ave,Hall,II,7,A/L,C,20.851511,-156.317469,Maui County
13,8,Kualapuu Comm Ctr,Alahula St ,Comm Ctr ,II ,7,A/L ,C,21.155246,-157.037165,Maui County
13,9,Kalaupapa Settlement,County of Kalawao ,Hall ,II ,7,None ,S,21.227394,-156.974973,Maui County
13,5,Kilohana Comm Ctr,Kamehameha V Hwy ,Comm Ctr ,II ,7,A/L ,C,21.056158,-156.864089,Maui County
14,2,Kilauea Elem Sch ,2440 Kolo Rd ,Caf,II ,8,A/L ,DOE,22.205534,-159.409989,Kauai County
15,5,Koloa Elem Sch,3223 Poipu Rd,Caf,II,8,A/L,DOE,21.898475,-159.467163,Kauai County
16,1,Koloa Neighborhood Ctr,3461 Weliweli Rd ,Mtg Rm ,II ,8,A/L ,C,21.903808,-159.463931,Kauai County
15,3,Wilcox Elem Sch,4319 Hardy St,Caf,II,8,A/L,DOE,21.975635,-159.364523,Kauai County
15,2,King Kaumualii Elem Sch,4380 Hanamaulu Rd,Caf,II,8,A/L,DOE,21.995911,-159.35154,Kauai County
15,4,Chiefess Kamakahelei Middle Sch,4431 Nuhou St,Caf,II,8,A/L,DOE,21.96699,-159.388533,Kauai County
16,3,Hanapepe Recreation Ctr,4451 Puolo Rd ,Mtg Rm ,II ,8,A/L ,C,21.906389,-159.593186,Kauai County
16,2,Kalaheo Neighborhood Ctr,4480 Papalina Rd ,Gym ,II ,8,A/L ,C,21.925123,-159.527331,Kauai County
14,5,Kapaa Neighborhood Ctr ,4491 Kou St ,Mtg Rm,II ,8,A/L ,C,22.07982,-159.313329,Kauai County
16,4,Waimea Neighborhood Ctr,4556 Makeke Rd ,Mtg Rm ,II ,8,A/L ,C,21.957686,-159.670594,Kauai County
15,1,Kapaa Middle Sch,4867 Olohena Rd,Caf,II,8,A/L,DOE,22.078621,-159.327915,Kauai County
14,4,Kapaa Elem Sch ,4886 Kawaihau Rd ,Caf,II ,8,A/L ,DOE,22.089468,-159.313898,Kauai County
14,1,Hanalei Elem Sch ,5-5415 Kuhio Hwy ,Caf,II ,8,A/L ,DOE,22.193564,-159.360588,Kauai County
16,5,Kekaha Neighborhood Ctr,8130 Elepaio Rd ,Mtg Rm ,II ,8,A/L ,C,21.968565,-159.715218,Kauai County
14,3,Anahola Hawaiian Homes Clubhse ,Kalalea Rd ,Hall,II ,8,A/L ,C,22.137143,-159.30938,Kauai County
16,6,Niihau Elem/High Sch,Niihau ,Sch ,II ,8,A/L ,DOE/P,21.892143,-160.157487,Kauai County
19,3,Waialae Elem Sch,1045 19th Ave,Caf,I,9,IV,DOE,21.276787,-157.792672,City and County of Honolulu
18,2,Niu Valley Middle Sch,310 Halemaumau St,Caf,I,9,IV,DOE,21.285245,-157.740443,City and County of Honolulu
19,2,Waikiki Elem Sch,3710 Leahi Ave,Caf,I,9,IV,DOE,21.268103,-157.814629,City and County of Honolulu
19,1,Kahala Elem Sch,4559 Kilauea Ave,Caf,I,9,IV,DOE,21.273735,-157.785273,City and County of Honolulu
18,4,Kalani High Sch,4680 Kalanianaole Hwy,Caf,I,9,IV,DOE,21.278885,-157.773816,City and County of Honolulu
18,1,Holy Trinity Church,5919 Kalanianaole Hwy,Gym,I,9,IV,P,21.283563,-157.729024,City and County of Honolulu
17,4,Hahaione Elem Sch,595 Pepeekeo St,Caf,I,9,IV,DOE,21.296192,-157.709629,City and County of Honolulu
17,3,Kamiloiki Elem Sch,7788 Hawaii Kai Dr,Caf,I,9,IV,DOE,21.294292,-157.685997,City and County of Honolulu
18,3,Aina Haina Elem Sch,801 W Hind Dr,Caf,I,9,IV,DOE,21.278118,-157.754965,City and County of Honolulu
19,5,Aliiolani Elem Sch,1240 7th Ave,Caf,I,10,V,DOE,21.286659,-157.804752,City and County of Honolulu
20,3,Jarrett Middle Sch,1903 Palolo Ave,Caf,I,10,V,DOE,21.297811,-157.797623,City and County of Honolulu
20,2,Anuenue Sch,2528 10th Ave,Caf,I,10,V,DOE,21.303973,-157.790182,City and County of Honolulu
21,2,Kaimuki High Sch,2705 Kaimuki Ave,Caf,I,10,V,DOE,21.287611,-157.8157,City and County of Honolulu
20,4,Hokulani Elem Sch,2940 Kamakini St,Caf,I,10,V,DOE,21.290755,-157.813565,City and County of Honolulu
21,1,Jefferson Elem Sch,324 Kapahulu Ave,Caf,I,10,IV,DOE,21.27268,-157.818362,City and County of Honolulu
19,4,HI Ctr for Deaf/Blind,3440 Leahi Ave,Caf,I,10,IV,DOE,21.272902,-157.815825,City and County of Honolulu
20,1,Wilson Elem Sch,4945 Kilauea Ave,Caf,I,10,IV,DOE,21.28227,-157.785387,City and County of Honolulu
21,3,Ala Wai Elem Sch,503 Kamoku St,Caf,I,10,V,DOE,21.284717,-157.826726,City and County of Honolulu
23,1,,,,I,10,V,,,,City and County of Honolulu
25,2,Stevenson Middle Sch,1202 Prospect St,Caf,I,11,VI,DOE,21.309801,-157.841117,City and County of Honolulu
24,2,Makiki District Park,1527 Keeaumoku St,Agee Hall,I,11,V,C,21.303412,-157.836391,City and County of Honolulu
24,3,Christ United Methodist Church,1639 Keeaumoku St,Mtg Rm,I,11,VI,P,21.305378,-157.83559,City and County of Honolulu
